Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,08:30,30170,8,30
아시아나항공,08:30,92034,8,30
에어부산,08:40,26780,8,40
아시아나항공,08:40,92034,8,40
제주항공,08:45,25424,8,45
대한항공,09:00,85085,9,0
에어부산,09:10,30848,9,10
아시아나항공,09:10,92034,9,10
에어부산,09:15,31356,9,15
아시아나항공,09:15,92034,9,15
이스타항공,10:05,23221,10,5
제주항공,10:45,27458,10,45
대한항공,12:00,85085,12,0
제주항공,12:55,40848,12,55
에어부산,13:25,31187,13,25
아시아나항공,13:25,92034,13,25
에어부산,13:30,35255,13,30
아시아나항공,13:30,92034,13,30
제주항공,14:05,44068,14,5
에어부산,14:55,72204,14,55
제주항공,15:30,37628,15,30
에어부산,16:30,69492,16,30
아시아나항공,16:30,92034,16,30
에어부산,16:45,42204,16,45
아시아나항공,16:45,92034,16,45
대한항공,17:40,85085,17,40
제주항공,17:50,37628,17,50
제주항공,18:30,40848,18,30
에어부산,18:35,75933,18,35
에어부산,19:05,75933,19,5
에어부산,19:35,54068,19,35
아시아나항공,19:35,92034,19,35
에어부산,19:55,58645,19,55
아시아나항공,19:55,92034,19,55
대한항공,20:00,85085,20,0
제주항공,20:05,44068,20,5
대한항공,20:45,85085,20,45
대한항공,21:05,85085,21,5
